Region,Seed,Team
South,1,Auburn
South,2,Iowa St
South,3,Wisconsin
South,4,St John's
South,5,Maryland
South,6,Mississippi
South,7,St Mary's CA
South,8,Gonzaga
South,9,Utah St
South,10,Texas
South,11,UC San Diego
South,12,Arkansas
South,12,Wake Forest
South,13,Arkansas St
South,14,Towson
South,15,Bryant
South,16,NE Omaha
South,16,SE Missouri St
Midwest,1,Alabama
Midwest,2,Houston
Midwest,3,Kentucky
Midwest,4,Michigan
Midwest,5,Missouri
Midwest,6,Illinois
Midwest,7,Mississippi St
Midwest,8,Creighton
Midwest,9,Baylor
Midwest,10,Nebraska
Midwest,11,George Mason
Midwest,12,Yale
Midwest,13,High Point
Midwest,14,UNC Greensboro
Midwest,15,Cleveland St
Midwest,16,Quinnipiac
West,1,Florida
West,2,Texas A&M
West,3,Purdue
West,4,Texas Tech
West,5,Marquette
West,6,Clemson
West,7,Memphis
West,8,Oregon
West,9,New Mexico
West,10,BYU
West,11,Vanderbilt
West,12,Drake
West,13,Akron
West,14,Jacksonville St
West,15,Montana
West,16,Norfolk St
East,1,Duke
East,2,Tennessee
East,3,Arizona
East,4,Michigan St
East,5,Kansas
East,6,UCLA
East,7,Louisville
East,8,Connecticut
East,9,Ohio St
East,10,West Virginia
East,11,San Diego St
East,11,Oklahoma
East,12,McNeese St
East,13,Lipscomb
East,14,Utah Valley
East,15,Central Conn
East,16,Southern Univ
East,16,American Univ
