2024-11-04 @Siena                    72  Brown                    71 O1         
2024-11-04 @Weber St                118  Northwest Indian         35            
2024-11-04 @Charlotte                88  Presbyterian             79            
2024-11-04 @Longwood                 79  Randolph Col             68            
2024-11-04 @Campbell                 96  Pfeiffer                 49            
2024-11-04 @Army                     67  SUNY Albany              59            
2024-11-04 @Cornell                  93  Marywood                 52            
2024-11-04 @UNC Greensboro           73  FGCU                     64            
2024-11-04 @Drexel                   95  Georgian Court           43            
2024-11-04 @IL Chicago               91  St Francis IL            43            
2024-11-04 @Jacksonville             78  Trinity Bap              65            
2024-11-04  Kent                     70 @Louisiana                66            
2024-11-04 @Oklahoma                 93  Lindenwood               60            
2024-11-04 @ULM                     111  Champion Bap             61            
2024-11-04 @UMBC                     95  PSU York                 66            
2024-11-04 @Samford                 100  Mississippi Col          58            
2024-11-04 @Morgan St                89  Frostburg St             76            
2024-11-04 @Nevada                   91  Sam Houston St           75            
2024-11-04 @Norfolk St               96  PSU Wilkes-Barre         41            
2024-11-04 @NC A&T                  107  Cheyney St               55            
2024-11-04 @Prairie View            111  CBS-Houston              90            
2024-11-04  C Michigan               74 @South Alabama            70            
2024-11-04 @Southern Utah            96  W New Mexico             68            
2024-11-04 @USC                      77  Chattanooga              51            
2024-11-04  Vermont                  67 @UAB                      62            
2024-11-04  W Illinois               59 @San Jose St              55            
2024-11-04 @Wyoming                 108  Concordia SP             85            
2024-11-04 @New Mexico               91  Nicholls St              84            
2024-11-04 @Colorado St              82  North Dakota             56            
2024-11-04 @Davidson                 88  Peace                    47            
2024-11-04  Bucknell                 85 @Delaware                 73            
2024-11-04 @Oregon                   91  UC Riverside             76            
2024-11-04 @Ga Southern              80  N Illinois               65            
2024-11-04 @Southern Miss            77  Bowling Green            68            
2024-11-04 @UC Irvine                82  Chapman                  52            
2024-11-04 @Montana                  92  Hawaii Hilo              61            
2024-11-04 @Arkansas St              80  Akron                    75 O1         
2024-11-04 @Tulsa                    82  NE Oklahoma              68            
2024-11-04 @Utah Valley              92  Western St CO            57            
2024-11-04 @Loy Marymount            99  Life Pacific             56            
2024-11-04 @SF Austin                85  Dallas Univ              51            
2024-11-04 @Gonzaga                 101  Baylor                   63            
2024-11-04 @Hofstra                  89  Old Westbury             62            
2024-11-04 @SIUE                     95  Westminster MO           42            
2024-11-04 @St Thomas MN             96  N Central MN             71            
2024-11-04 @IUPUI                   100  IUPUC                    44            
2024-11-04 @E Kentucky               98  Alice Lloyd              69            
2024-11-04 @Pacific                  92  Wm Jessup                65            
2024-11-04 @Drake                    93  York NE                  41            
2024-11-04 @Arizona                  93  Canisius                 64            
2024-11-04 @Boston College           69  Citadel                  60            
2024-11-04 @Butler                   72  Missouri St              65            
2024-11-04 @Colorado                 76  E Washington             56            
2024-11-04 @Duke                     96  Maine                    62            
2024-11-04  Lipscomb                 77 @Duquesne                 72            
2024-11-04 @Houston                  97  Jackson St               40            
2024-11-04 @Illinois                112  E Illinois               67            
2024-11-04 @Iowa St                  83  MS Valley St             44            
2024-11-04 @Kansas                   87  Howard                   57            
2024-11-04 @La Salle                 65  American Univ            52            
2024-11-04 @Louisville               93  Morehead St              45            
2024-11-04 @Maryland                 79  Manhattan                49            
2024-11-04 @Michigan                101  Cleveland St             53            
2024-11-04 @Nebraska                 87  UTRGV                    67            
2024-11-04 @Niagara                 100  Houghton                 65            
2024-11-04 @North Carolina           90  Elon                     76            
2024-11-04 @Purdue                   90  TAM C. Christi           73            
2024-11-04 @St Joseph's PA           70  Navy                     63            
2024-11-04 @SMU                      96  Tarleton St              62            
2024-11-04  North Florida            74 @South Carolina           71            
2024-11-04 @Syracuse                 86  Le Moyne                 82            
2024-11-04 @TCU                     105  Florida A&M              59            
2024-11-04 @UCLA                     85  Rider                    50            
2024-11-04 @VCU                      84  Bellarmine               65            
2024-11-04 @Virginia Tech            83  Delaware St              60            
2024-11-04 @Wake Forest              64  Coppin St                49            
2024-11-04 @West Virginia            87  Robert Morris            59            
2024-11-04 @Clemson                  91  Charleston So            64            
2024-11-04 @Princeton                81  Iona                     80            
2024-11-04 @Queens NC                90  Lynchburg                39            
2024-11-04 @Stetson                  94  New College FL           75            
2024-11-04  North Alabama            73 @Air Force                57            
2024-11-04 @Long Beach St            93  La Verne                 48            
2024-11-04 @Ark Little Rock          84  Ark Baptist              64            
2024-11-04 @Houston Chr              86  Avila                    59            
2024-11-04 @Murray St               113  Bethel TN                37            
2024-11-04 @Furman                  104  Columbia Intl            46            
2024-11-04 @Detroit                  91  Cleary                   52            
2024-11-04 @Tennessee St             96  Fisk                     66            
2024-11-04 @Tulane                   76  Louisiana Chr            42            
2024-11-04 @Louisiana Tech           77  LSU-Alexandria           50            
2024-11-04 @S Carolina St           137  Morris SC                55            
2024-11-04 @Lamar                   113  Paul Quinn               42            
2024-11-04 @Grambling                92  Southern N.O.            42            
2024-11-04 @Cal Baptist              83  Incarnate Word           78            
2024-11-04 @Grand Canyon             89  CS Fullerton             79            
2024-11-04 @Cincinnati              109  Ark Pine Bluff           54            
2024-11-04 @Utah                    100  Alcorn St                59            
2024-11-04 @Coastal Car              60  W Michigan               56            
2024-11-04  Col Charleston           90  S Illinois               80           Sioux Falls, SD 
2024-11-04 @Abilene Chr             107  Howard Payne             74            
2024-11-04 @Northwestern LA          96  Dallas Chr               55            
2024-11-04 @Marshall                 90  Davis & Elkins           57            
2024-11-04 @Dayton                   87  St Francis PA            57            
2024-11-04 @Bryant                  105  Dean                     63            
2024-11-04 @Stanford                 85  Denver                   62            
2024-11-04 @Oregon St                80  Utah Tech                57            
2024-11-04 @East Carolina            97  NC Wesleyan              70            
2024-11-04 @Texas St                 64  E Michigan               44            
2024-11-04 @Rhode Island             96  Fairfield                58            
2024-11-04 @Miami FL                113  F Dickinson              72            
2024-11-04  Florida                  98  South Florida            83           Jacksonville, FL 
2024-11-04 @St John's                92  Fordham                  60            
2024-11-04  Miami OH                 77 @Appalachian St           63            
2024-11-04 @George Mason             75  NC Central               58            
2024-11-04 @Hampton                 110  Mid-Atlantic Chr         53            
2024-11-04 @Missouri KC              91  Hannibal-Lagr            68            
2024-11-04 @Northern Arizona        100  Park-Gilbert             49            
2024-11-04 @Harvard                  79  Marist                   66            
2024-11-04 @Wisconsin                85  Holy Cross               61            
2024-11-04 @Idaho                    94  Northwest WA             60            
2024-11-04  TN Martin                67 @Illinois St              65            
2024-11-04  FL Atlantic              97  Indiana St               64           Xenia, OH 
2024-11-04 @James Madison            88  Ohio                     78            
2024-11-04 @UT Arlington             90  UNT Dallas               55            
2024-11-04 @Jacksonville St         112  LaGrange                 48            
2024-11-04  Columbia                 81 @Loyola MD                78            
2024-11-04 @Loyola-Chicago           79  Chicago St               72            
2024-11-04 @Dartmouth               129  NVU-Lyndon               47            
2024-11-04 @Vanderbilt              102  MD E Shore               63            
