Ranking,Team,Wins,Losses,ELO
1,Houston,24,4,2363
2,Auburn,25,2,2360
3,Florida,24,3,2275
4,Duke,24,3,2271
5,St John's,24,4,2243
6,Michigan St,22,5,2234
7,Alabama,22,5,2201
8,Tennessee,22,5,2193
9,Wisconsin,21,6,2185
10,Clemson,22,5,2166
11,Arizona,18,9,2158
12,St Mary's CA,25,4,2153
13,Maryland,21,6,2119
14,Texas Tech,21,7,2106
15,Louisville,21,6,2105
16,Iowa St,21,6,2076
17,Missouri,20,7,2068
18,Michigan,21,6,2067
19,New Mexico,22,5,2065
20,Creighton,19,8,2054
21,Connecticut,18,9,2050
22,Drake,25,3,2030
23,VCU,22,5,2027
24,Purdue,19,9,2020
25,Utah St,24,4,2016
26,BYU,19,8,2015
27,Texas A&M,20,7,1996
28,Marquette,20,7,1994
29,Gonzaga,21,8,1994
30,UC San Diego,24,4,1991
31,Mississippi St,19,8,1990
32,UCLA,20,8,1976
33,Kentucky,18,9,1966
34,Memphis,22,5,1965
35,Kansas,19,9,1963
36,San Diego St,18,7,1959
37,Mississippi,19,8,1936
38,Xavier,18,10,1933
39,Boise St,19,8,1932
40,North Carolina,18,11,1930
41,Baylor,16,11,1928
42,Illinois,17,11,1926
43,Colorado St,18,9,1925
44,Villanova,16,12,1917
45,Wake Forest,19,8,1910
46,George Mason,21,6,1907
47,Yale,18,6,1893
48,Oregon,20,8,1890
49,Arkansas,16,11,1890
50,Santa Clara,19,10,1890
51,SMU,20,7,1887
52,Oklahoma,17,10,1872
53,San Francisco,22,7,1870
54,Indiana,16,11,1861
55,Nebraska,17,11,1860
56,Liberty,22,5,1857
57,Cincinnati,16,11,1852
58,North Texas,20,6,1850
59,Vanderbilt,18,9,1845
60,Ohio St,15,13,1842
61,High Point,25,5,1821
62,Northwestern,14,13,1815
63,Penn St,15,13,1814
64,Georgia,16,11,1814
65,St Joseph's PA,17,10,1801
66,Texas,16,11,1795
67,UC Irvine,23,5,1792
68,Dayton,18,9,1791
69,Kansas St,13,14,1790
70,CS Northridge,20,7,1790
71,West Virginia,16,11,1789
72,Butler,13,14,1784
73,USC,14,13,1773
74,Chattanooga,21,8,1771
75,Rutgers,14,14,1769
76,Nevada,15,12,1763
77,Iowa,15,12,1760
78,Grand Canyon,20,6,1760
79,TCU,15,12,1758
80,Northern Iowa,19,10,1753
81,Loyola-Chicago,18,9,1751
82,Pittsburgh,16,11,1738
83,Utah,15,12,1732
84,McNeese St,23,6,1728
85,Minnesota,14,13,1716
86,Arkansas St,20,9,1709
87,Lipscomb,21,9,1709
88,South Carolina,11,16,1706
89,Arizona St,13,14,1705
90,Bradley,22,7,1704
91,Utah Valley,20,7,1704
92,Georgetown,16,11,1702
93,Providence,12,15,1690
94,UAB,18,9,1689
95,Stanford,17,10,1688
96,Oregon St,20,9,1687
97,Towson,19,10,1682
98,St Bonaventure,19,9,1681
