Team,ELO
Houston,2075.057142857143
Purdue,2069.4161904761904
Iowa St,2057.9949206349206
Connecticut,2057.128686868687
Illinois,2013.7450793650792
Auburn,2002.2048412698412
Baylor,1980.9815873015873
Texas Tech,1978.0926984126986
Texas,1972.5726984126986
Marquette,1972.0753535353533
Kansas,1968.128253968254
Tennessee,1964.7603968253968
BYU,1959.4838095238097
Creighton,1956.959797979798
Nebraska,1946.5006349206349
TCU,1946.0660317460317
Wisconsin,1941.7939682539682
Florida,1940.4048412698412
North Carolina,1940.0040740740742
Kentucky,1939.13373015873
Michigan St,1936.9939682539682
Ohio St,1932.8339682539684
Oklahoma,1924.7682539682542
Cincinnati,1923.737142857143
Kansas St,1922.408253968254
Alabama,1922.1292857142855
Northwestern,1921.5584126984127
Mississippi St,1921.17373015873
Texas A&M,1918.0581746031746
Duke,1914.7240740740742
St John's,1913.5731313131312
South Carolina,1912.5381746031744
UCF,1900.0349206349206
Iowa,1895.9984126984127
Villanova,1889.759797979798
Seton Hall,1887.5820202020202
Arizona,1886.9799074074074
Providence,1876.4886868686867
Indiana,1871.0250793650794
Maryland,1869.940634920635
Pittsburgh,1863.5107407407409
San Diego St,1862.5413131313132
Nevada,1860.0568686868687
Penn St,1859.6695238095238
New Mexico,1858.7990909090909
Xavier,1855.1731313131313
Clemson,1849.0974074074074
NC State,1846.2974074074075
Colorado,1840.984351851852
Utah St,1838.981313131313
Oklahoma St,1836.3638095238096
Wake Forest,1834.9374074074076
Minnesota,1833.762857142857
Butler,1831.46202020202
Oregon,1821.7932407407407
Colorado St,1821.0524242424242
Rutgers,1819.7761904761903
Washington St,1818.6021296296296
Virginia,1811.1151851851853
Mississippi,1809.8092857142856
Arkansas,1808.57373015873
Boise St,1808.4302020202022
Boston College,1802.8707407407408
LSU,1800.0492857142856
Syracuse,1798.444074074074
Georgia,1798.3292857142856
Virginia Tech,1795.7596296296297
West Virginia,1790.2304761904763
Gonzaga,1779.310864197531
UNLV,1772.8568686868687
USC,1770.3132407407406
Washington,1767.5487962962964
Florida St,1763.2529629629632
UCLA,1762.9132407407408
Michigan,1759.7450793650794
Utah,1758.255462962963
FL Atlantic,1757.292142857143
Dayton,1753.0214814814813
St Mary's CA,1751.8041975308643
Drake,1734.921203703704
Memphis,1730.2699206349207
Notre Dame,1729.9018518518521
Miami FL,1726.4840740740742
Missouri,1718.57373015873
Duquesne,1716.2837037037036
Indiana St,1714.8278703703704
Georgia Tech,1710.1329629629631
Stanford,1708.215462962963
Vanderbilt,1700.7515079365078
Arizona St,1699.5932407407408
VCU,1692.9325925925925
Loyola-Chicago,1692.048148148148
California,1689.224351851852
Georgetown,1688.0975757575757
Richmond,1682.6303703703702
Wyoming,1681.2568686868688
Grand Canyon,1675.1112121212122
North Texas,1672.1899206349208
UAB,1671.9010317460318
South Florida,1671.732142857143
Oregon St,1670.8865740740741
Massachusetts,1670.1725925925923
Bradley,1668.3034259259261
St Joseph's PA,1663.319259259259
San Francisco,1662.6886419753087
George Mason,1658.9148148148147
SMU,1646.3854761904763
Princeton,1644.5129166666668
James Madison,1643.4723015873017
Northern Iowa,1638.921203703704
Belmont,1638.2767592592595
Yale,1634.8684722222222
DePaul,1630.0797979797978
Fresno St,1629.5457575757578
Charlotte,1625.274365079365
St Bonaventure,1625.208148148148
Louisville,1621.0174074074075
Santa Clara,1613.9286419753087
Cornell,1611.5884722222224
UC Irvine,1608.0430303030303
S Illinois,1605.2767592592595
Davidson,1602.0214814814813
Col Charleston,1598.7693650793651
UT Arlington,1593.1601010101012
Samford,1592.6055555555556
Tarleton St,1592.5823232323232
Appalachian St,1591.5434126984128
Air Force,1590.6568686868686
Wichita St,1590.434365079365
San Jose St,1585.7324242424243
Vermont,1581.3641975308642
Tulane,1580.4788095238096
Missouri St,1580.4100925925927
Louisiana Tech,1572.917037037037
St Louis,1572.4303703703702
Sam Houston St,1565.9037037037037
La Salle,1565.0881481481479
Temple,1564.1365873015873
WKU,1561.4414814814813
Fordham,1552.3237037037036
Seattle,1550.560101010101
Murray St,1546.5078703703705
Arkansas St,1542.7034126984126
Illinois St,1542.1523148148149
G Washington,1540.6925925925923
East Carolina,1540.6343650793651
W Carolina,1537.2722222222224
Tulsa,1537.083253968254
Rhode Island,1533.3325925925924
UC San Diego,1526.4385858585858
Long Beach St,1525.6163636363635
Troy,1523.596746031746
SF Austin,1518.6489898989898
Utah Valley,1518.0045454545455
Evansville,1517.1567592592594
Hofstra,1515.587142857143
Hawaii,1514.3230303030302
San Diego,1512.941975308642
Chattanooga,1508.5566666666668
UC Davis,1508.091919191919
Brown,1507.344027777778
UTEP,1506.8814814814814
Abilene Chr,1506.5512121212123
Rice,1505.9499206349208
IL Chicago,1505.2767592592595
Furman,1501.3077777777778
E Washington,1500.997222222222
Loy Marymount,1499.5064197530864
UNC Greensboro,1498.858888888889
Akron,1498.6526851851852
UNC Wilmington,1496.1960317460316
Pepperdine,1495.9553086419753
S Dakota St,1492.293333333333
Texas St,1492.2589682539683
Portland,1491.0353086419752
Liberty,1489.8370370370371
ETSU,1487.4233333333332
Drexel,1486.5160317460318
Louisiana,1485.7478571428571
UC Riverside,1481.9985858585858
Montana,1480.557222222222
Cal Baptist,1478.3912121212122
Harvard,1477.6773611111114
MA Lowell,1477.373086419753
Oakland,1476.4771717171716
High Point,1475.6175308641975
Wofford,1472.5477777777778
Toledo,1471.9326851851852
Ohio,1471.550462962963
Towson,1468.2226984126985
Youngstown St,1466.1171717171717
South Alabama,1465.8323015873016
UT San Antonio,1465.8076984126983
Penn,1464.1440277777779
Weber St,1463.4194444444445
Mercer,1462.2633333333333
Stony Brook,1461.1826984126983
UC Santa Barbara,1460.4163636363635
Montana St,1460.0727777777777
Jacksonville St,1456.2725925925927
Bryant,1456.2353086419753
Fairfield,1450.5032323232324
Southern Utah,1450.0401010101011
Quinnipiac,1449.1965656565658
Wright St,1447.6905050505052
CS Northridge,1445.0163636363636
CS Fullerton,1444.7052525252525
MTSU,1440.1925925925925
Kent,1439.9593518518518
CS Bakersfield,1439.4919191919191
Columbia,1437.1084722222224
UNC Asheville,1435.675308641975
N Colorado,1433.9616666666666
McNeese St,1432.305
Monmouth NJ,1431.289365079365
Delaware,1429.698253968254
Valparaiso,1428.6989814814817
St Thomas MN,1428.6799999999998
PFW,1427.588282828283
Morehead St,1423.868787878788
Cleveland St,1422.5082828282827
Utah Tech,1422.5023232323233
Marshall,1422.2945238095238
Southern Miss,1422.0411904761904
Florida Intl,1421.3837037037038
N Kentucky,1420.0593939393939
Missouri KC,1419.8266666666666
New Mexico St,1419.5303703703703
Georgia St,1415.0411904761904
Longwood,1411.6175308641975
St Peter's,1409.449898989899
Colgate,1408.243333333333
WI Milwaukee,1407.9571717171716
North Dakota,1406.5022222222221
Lipscomb,1405.722037037037
Ga Southern,1405.6411904761903
Rider,1402.3432323232323
Bowling Green,1401.830462962963
Idaho St,1400.517222222222
Maine,1399.804197530864
Birmingham So,1395.5
W Texas A&M,1388.1
Portland St,1384.9305555555554
ULM,1383.4634126984129
Stetson,1383.0775925925925
Northeastern,1382.1471428571429
Marist,1381.3432323232323
New Hampshire,1378.8575308641975
Iona,1375.498787878788
Citadel,1375.3211111111111
C Michigan,1374.1549074074076
Old Dominion,1372.525634920635
Ball St,1372.3149074074074
E Kentucky,1369.362037037037
Binghamton,1368.3241975308642
Austin Peay,1365.2909259259259
UMBC,1363.013086419753
Radford,1362.9241975308641
Mt St Mary's,1362.569898989899
Canisius,1361.1343434343437
Miami OH,1361.030462962963
SUNY Albany,1356.6441975308642
Northern Arizona,1356.2549999999999
N Dakota St,1355.4088888888887
Gardner Webb,1354.070864197531
Winthrop,1353.8397530864197
FGCU,1353.730925925926
Dartmouth,1353.08625
Ark Little Rock,1352.8332323232323
WI Green Bay,1352.210505050505
Niagara,1352.0143434343436
Oral Roberts,1350.8577777777778
Campbell,1350.7604761904763
NE Omaha,1349.3733333333332
North Florida,1344.0775925925925
Queens NC,1340.5709259259258
TN Martin,1339.499898989899
Denver,1339.3866666666665
Jacksonville,1338.193148148148
Pacific,1337.7286419753086
Coastal Car,1336.587857142857
