Date,Home Team,# of Home Team Wins,Away Team,# of Away Team Wins,Neutral
2025-02-19,Army,5070,American Univ,4930,H
2025-02-19,Holy Cross,5667,Lafayette,4333,H
2025-02-19,Colgate,7485,Navy,2515,H
2025-02-19,VCU,9604,Massachusetts,396,H
2025-02-19,La Salle,6031,Richmond,3969,H
2025-02-19,G Washington,5808,St Joseph's PA,4192,H
2025-02-19,Duquesne,8174,Fordham,1826,H
2025-02-19,Drake,9286,IL Chicago,714,H
2025-02-19,Murray St,6015,S Illinois,3985,H
2025-02-19,Valparaiso,6270,Missouri St,3730,H
2025-02-19,Indiana St,7718,Evansville,2282,H
2025-02-19,Illinois St,3852,Bradley,6148,H
2025-02-19,Washington,6214,Rutgers,3786,H
2025-02-19,Penn St,3328,Nebraska,6672,H
2025-02-19,Iowa,5878,Oregon,4122,H
2025-02-19,Missouri,4647,Alabama,5353,H
2025-02-19,Notre Dame,3579,SMU,6421,H
2025-02-19,North Carolina,8993,NC State,1007,H
2025-02-19,Belmont,5112,Northern Iowa,4888,H
2025-02-19,Florida St,8683,Miami FL,1317,H
2025-02-19,West Virginia,6068,Cincinnati,3932,H
2025-02-19,Oklahoma St,6944,UCF,3056,H
2025-02-19,Rice,4191,UAB,5809,H
2025-02-19,UT San Antonio,6186,South Florida,3814,H
2025-02-19,Tulane,7206,East Carolina,2794,H
2025-02-19,North Texas,9581,Tulsa,419,H
2025-02-19,Charlotte,3836,Temple,6164,H
2025-02-19,Radford,5184,UNC Asheville,4816,H
2025-02-19,Presbyterian,4137,Winthrop,5863,H
2025-02-19,Longwood,7018,Gardner Webb,2982,H
2025-02-19,High Point,9784,Charleston So,216,H
2025-02-19,Kentucky,7706,Vanderbilt,2294,H
2025-02-19,Auburn,9710,Arkansas,290,H
2025-02-19,Boise St,3879,New Mexico,6121,H
2025-02-19,Chattanooga,9764,W Carolina,236,H
2025-02-19,Citadel,3993,Mercer,6007,H
2025-02-19,Denver,5688,Oral Roberts,4312,H
2025-02-19,ETSU,4779,UNC Greensboro,5221,H
2025-02-19,Samford,8182,Furman,1818,H
2025-02-19,S Dakota St,7779,N Dakota St,2221,H
2025-02-19,South Dakota,3770,St Thomas MN,6230,H
2025-02-19,St Mary's CA,9913,Portland,87,H
2025-02-19,Missouri KC,3833,NE Omaha,6167,H
2025-02-19,VMI,5197,Wofford,4803,H
2025-02-19,Washington St,3163,Gonzaga,6837,H
2025-02-19,Arkansas St,8228,South Alabama,1772,H
2025-02-19,Texas St,8607,ULM,1393,H
2025-02-19,Boston Univ,7304,Loyola MD,2696,H
2025-02-19,Utah St,9652,San Jose St,348,H
2025-02-19,Georgetown,5657,Providence,4343,H
2025-02-19,DePaul,601,St John's,9399,H
2025-02-19,Detroit,6655,IUPUI,3345,H
2025-02-20,SUNY Albany,4352,Maine,5648,H
2025-02-20,MA Lowell,7327,UMBC,2673,H
2025-02-20,Binghamton,8401,New Hampshire,1599,H
2025-02-20,Vermont,4241,Bryant,5759,H
2025-02-20,Ohio St,8582,Northwestern,1418,H
2025-02-20,Maryland,8872,USC,1128,H
2025-02-20,Chicago St,934,Central Conn,9066,H
2025-02-20,FL Atlantic,7980,Wichita St,2020,H
2025-02-20,Santa Clara,9143,Loy Marymount,857,H
2025-02-20,Radford,5192,UNC Asheville,4808,H
2025-02-20,Abilene Chr,9013,Southern Utah,987,H
2025-02-20,Bellarmine,1095,E Kentucky,8905,H
2025-02-20,Jacksonville St,8464,New Mexico St,1536,H
2025-02-20,Kennesaw,7178,UTEP,2822,H
2025-02-20,MTSU,7575,Louisiana Tech,2425,H
2025-02-20,Morehead St,2752,SIUE,7248,H
2025-02-20,Pepperdine,3112,Oregon St,6888,H
2025-02-20,San Francisco,9880,Pacific,120,H
2025-02-20,SE Missouri St,9728,W Illinois,272,H
2025-02-20,Southern Indiana,6067,E Illinois,3933,H
2025-02-20,Stetson,2006,FGCU,7994,H
2025-02-20,Tennessee Tech,7062,TN Martin,2938,H
2025-02-20,Ark Little Rock,9201,Lindenwood,799,H
2025-02-20,UC Riverside,9476,Long Beach St,524,H
2025-02-20,Utah Tech,1663,Utah Valley,8337,H
2025-02-20,WKU,7428,Sam Houston St,2572,H
2025-02-20,Queens NC,8654,Austin Peay,1346,H
2025-02-20,Lipscomb,6551,North Alabama,3449,H
2025-02-20,North Florida,4201,Jacksonville,5799,H
2025-02-20,UC Davis,8406,CS Bakersfield,1594,H
2025-02-20,UC Santa Barbara,9572,CS Fullerton,428,H
2025-02-20,Weber St,8208,CS Sacramento,1792,H
2025-02-20,West Georgia,7589,Cent Arkansas,2411,H
2025-02-20,Southern Miss,8503,Coastal Car,1497,H
2025-02-20,N Colorado,8638,E Washington,1362,H
2025-02-20,Mercyhurst,6120,F Dickinson,3880,H
2025-02-20,Appalachian St,8771,Ga Southern,1229,H
2025-02-20,James Madison,8411,Georgia St,1589,H
2025-02-20,Northern Arizona,7104,Idaho,2896,H
2025-02-20,Idaho St,4528,Portland St,5472,H
2025-02-20,Le Moyne,4993,St Francis PA,5007,H
2025-02-20,Wagner,4209,Stonehill,5791,H
2025-02-20,UC Irvine,7891,CS Northridge,2109,H
2025-02-20,Cal Poly,1117,UC San Diego,8883,H
2025-02-20,Old Dominion,4226,Marshall,5774,H
2025-02-20,Troy,9546,Louisiana,454,H
2025-02-20,Northeastern,4700,Col Charleston,5300,H
2025-02-20,William & Mary,4301,UNC Wilmington,5699,H
2025-02-20,NC A&T,1141,Campbell,8859,H
2025-02-20,Elon,4879,Towson,5121,H
2025-02-20,Delaware,5710,Drexel,4290,H
2025-02-20,Hofstra,6011,Monmouth NJ,3989,H
2025-02-20,Hampton,8976,Stony Brook,1024,H
2025-02-21,Brown,8818,Columbia,1182,H
2025-02-21,Loyola-Chicago,5663,Dayton,4337,H
2025-02-21,Michigan,5927,Michigan St,4073,H
2025-02-21,Marist,9737,Canisius,263,H
2025-02-21,Merrimack,8529,Sacred Heart,1471,H
2025-02-21,Mt St Mary's,7909,St Peter's,2091,H
2025-02-21,Rider,8177,Fairfield,1823,H
2025-02-21,Siena,8645,Niagara,1355,H
2025-02-21,Miami OH,5481,Kent,4519,H
2025-02-21,Toledo,8934,Bowling Green,1066,H
2025-02-21,Princeton,8173,Harvard,1827,H
2025-02-21,Iona,5947,Manhattan,4053,H
2025-02-21,Penn,3617,Dartmouth,6383,H
2025-02-21,Yale,9062,Cornell,938,H
2025-02-21,Villanova,4225,Marquette,5775,H
2025-02-21,Detroit,2056,Cleveland St,7944,H
2025-02-21,PFW,7465,Oakland,2535,H
2025-02-21,Wright St,6290,N Kentucky,3710,H
2025-02-21,Youngstown St,6725,WI Milwaukee,3275,H
2025-02-21,Robert Morris,9806,WI Green Bay,194,H
2025-02-22,SUNY Albany,8369,New Hampshire,1631,H
2025-02-22,Brown,6339,Cornell,3661,H
2025-02-22,Alabama St,5519,Florida A&M,4481,H
2025-02-22,Lafayette,6309,Lehigh,3691,H
2025-02-22,Binghamton,4668,Maine,5332,H
2025-02-22,UMBC,8468,NJIT,1532,H
2025-02-22,Vermont,7403,MA Lowell,2597,H
2025-02-22,Morgan St,6986,Howard,3014,H
2025-02-22,Nevada,5620,Boise St,4380,H
2025-02-22,Prairie View,8022,Ark Pine Bluff,1978,H
2025-02-22,Wyoming,6514,San Jose St,3486,H
2025-02-22,NC State,1871,Wake Forest,8129,H
2025-02-22,G Washington,7980,Massachusetts,2020,H
2025-02-22,VCU,7192,George Mason,2808,H
2025-02-22,Fordham,5049,Davidson,4951,H
2025-02-22,S Illinois,8506,Valparaiso,1494,H
2025-02-22,Bradley,8908,Murray St,1092,H
2025-02-22,Belmont,7706,Indiana St,2294,H
2025-02-22,Missouri St,4835,Illinois St,5165,H
2025-02-22,IL Chicago,8551,Evansville,1449,H
2025-02-22,Air Force,5684,Fresno St,4316,H
2025-02-22,Wisconsin,9359,Oregon,641,H
2025-02-22,Minnesota,7637,Penn St,2363,H
2025-02-22,Iowa,7476,Washington,2524,H
2025-02-22,Louisville,9449,Florida St,551,H
2025-02-22,St Joseph's PA,9249,Richmond,751,H
2025-02-22,Boston College,4005,Georgia Tech,5995,H
2025-02-22,Notre Dame,4625,Pittsburgh,5375,H
2025-02-22,St Louis,6909,Rhode Island,3091,H
2025-02-22,North Carolina,8265,Virginia,1735,H
2025-02-22,SMU,3920,Clemson,6080,H
2025-02-22,St Bonaventure,7271,Duquesne,2729,H
2025-02-22,Delaware St,5560,S Carolina St,4440,H
2025-02-22,Miami FL,6026,Virginia Tech,3974,H
2025-02-22,Dartmouth,6459,Princeton,3541,H
2025-02-22,Stanford,7540,California,2460,H
2025-02-22,Texas Tech,9158,West Virginia,842,H
2025-02-22,Colorado,2555,Baylor,7445,H
2025-02-22,Cincinnati,7185,TCU,2815,H
2025-02-22,Kansas,8696,Oklahoma St,1304,H
2025-02-22,Houston,8497,Iowa St,1503,H
2025-02-22,Arizona,8146,BYU,1854,H
2025-02-22,Rice,7635,Tulsa,2365,H
2025-02-22,Radford,8695,Presbyterian,1305,H
2025-02-22,UNC Asheville,8820,Longwood,1180,H
2025-02-22,Gardner Webb,1657,High Point,8343,H
2025-02-22,Charleston So,8844,SC Upstate,1156,H
2025-02-22,UNLV,4810,Colorado St,5190,H
2025-02-22,Abilene Chr,9019,Utah Tech,981,H
2025-02-22,Alabama,8878,Kentucky,1122,H
2025-02-22,Arkansas,4071,Missouri,5929,H
2025-02-22,Auburn,9725,Georgia,275,H
2025-02-22,Ball St,9007,Buffalo,993,H
2025-02-22,Chattanooga,9948,Citadel,52,H
2025-02-22,Furman,7485,VMI,2515,H
2025-02-22,Gonzaga,5402,St Mary's CA,4598,H
2025-02-22,Grand Canyon,8310,Cal Baptist,1690,H
2025-02-22,Duke,7880,Illinois,2120,N
2025-02-22,Jacksonville St,8085,UTEP,1915,H
2025-02-22,Kennesaw,7830,New Mexico St,2170,H
2025-02-22,Liberty,9831,Florida Intl,169,H
2025-02-22,Loy Marymount,8054,Pepperdine,1946,H
2025-02-22,LSU,1152,Florida,8848,H
2025-02-22,Mercer,2283,UNC Greensboro,7717,H
2025-02-22,MTSU,8581,Sam Houston St,1419,H
2025-02-22,Morehead St,7355,E Illinois,2645,H
2025-02-22,NE Omaha,7951,South Dakota,2049,H
2025-02-22,North Dakota,2674,N Dakota St,7326,H
2025-02-22,N Illinois,2922,E Michigan,7078,H
2025-02-22,Ohio,2895,Akron,7105,H
2025-02-22,Oklahoma,4483,Mississippi St,5517,H
2025-02-22,Oral Roberts,1551,St Thomas MN,8449,H
2025-02-22,Pacific,4510,Portland,5490,H
2025-02-22,Samford,9562,W Carolina,438,H
2025-02-22,San Diego,1232,Oregon St,8768,H
2025-02-22,South Carolina,4018,Texas,5982,H
2025-02-22,SE Missouri St,9467,Lindenwood,533,H
2025-02-22,Southern Indiana,1608,SIUE,8392,H
2025-02-22,Tennessee Tech,5272,Tennessee St,4728,H
2025-02-22,Texas A&M,5439,Tennessee,4561,H
2025-02-22,Ark Little Rock,9605,W Illinois,395,H
2025-02-22,UT Arlington,7459,Tarleton St,2541,H
2025-02-22,Utah Valley,8780,Seattle,1220,H
2025-02-22,Vanderbilt,5138,Mississippi,4862,H
2025-02-22,Washington St,5028,Santa Clara,4972,H
2025-02-22,WKU,6258,Louisiana Tech,3742,H
2025-02-22,W Michigan,6427,C Michigan,3573,H
2025-02-22,Wofford,6863,ETSU,3137,H
2025-02-22,Long Beach St,2838,UC Santa Barbara,7162,H
2025-02-22,CS Bakersfield,1543,UC Irvine,8457,H
2025-02-22,Idaho St,9257,CS Sacramento,743,H
2025-02-22,Jackson St,7537,Alcorn St,2463,H
2025-02-22,Troy,9871,Coastal Car,129,H
2025-02-22,Coppin St,1004,Norfolk St,8996,H
2025-02-22,Northern Arizona,6675,E Washington,3325,H
2025-02-22,St Francis PA,6042,F Dickinson,3958,H
2025-02-22,Appalachian St,8214,Marshall,1786,H
2025-02-22,James Madison,8630,Ga Southern,1370,H
2025-02-22,Old Dominion,4887,Georgia St,5113,H
2025-02-22,Penn,5395,Harvard,4605,H
2025-02-22,UC San Diego,9824,Hawaii,176,H
2025-02-22,Arkansas St,9870,ULM,130,H
2025-02-22,N Colorado,9015,Idaho,985,H
2025-02-22,Incarnate Word,4838,SF Austin,5162,H
2025-02-22,Houston Chr,2998,Lamar,7002,H
2025-02-22,Le Moyne,4401,LIU Brooklyn,5599,H
2025-02-22,MD E Shore,3655,NC Central,6345,H
2025-02-22,McNeese St,9185,TAM C. Christi,815,H
2025-02-22,TX Southern,9846,MS Valley St,154,H
2025-02-22,Montana St,4867,Montana,5133,H
2025-02-22,New Orleans,2884,Northwestern LA,7116,H
2025-02-22,Nicholls St,8417,UTRGV,1583,H
2025-02-22,Weber St,2707,Portland St,7293,H
2025-02-22,Alabama A&M,4467,Bethune-Cookman,5533,H
2025-02-22,SE Louisiana,9667,East Texas A&M,333,H
2025-02-22,Grambling,2891,Southern Univ,7109,H
2025-02-22,Central Conn,9279,Stonehill,721,H
2025-02-22,Texas St,4274,South Alabama,5726,H
2025-02-22,American Univ,8602,Boston Univ,1398,H
2025-02-22,UC Davis,4767,CS Northridge,5233,H
2025-02-22,Utah St,6672,San Diego St,3328,H
2025-02-22,Chicago St,6088,Wagner,3912,H
2025-02-22,Yale,9858,Columbia,142,H
2025-02-22,DePaul,3975,Butler,6025,H
2025-02-22,Southern Miss,7157,Louisiana,2843,H
2025-02-22,Cal Poly,3901,UC Riverside,6099,H
2025-02-22,Drexel,4122,Col Charleston,5878,H
2025-02-22,Hampton,3459,UNC Wilmington,6541,H
2025-02-22,Elon,6992,William & Mary,3008,H
2025-02-22,Campbell,5767,Towson,4233,H
2025-02-22,Delaware,6182,Hofstra,3818,H
2025-02-22,NC A&T,5587,Stony Brook,4413,H
2025-02-23,Northern Iowa,3984,Drake,6016,H
2025-02-23,Bucknell,7787,Army,2213,H
2025-02-23,UCLA,6591,Ohio St,3409,H
2025-02-23,Rutgers,5337,USC,4663,H
2025-02-23,Indiana,2863,Purdue,7137,H
2025-02-23,UCF,5124,Utah,4876,H
2025-02-23,Kansas St,8546,Arizona St,1454,H
2025-02-23,Memphis,8434,FL Atlantic,1566,H
2025-02-23,Wichita St,6364,Tulane,3636,H
2025-02-23,East Carolina,7858,UT San Antonio,2142,H
2025-02-23,South Florida,2619,North Texas,7381,H
2025-02-23,UAB,7850,Temple,2150,H
2025-02-23,Loyola MD,4445,Colgate,5555,H
2025-02-23,Navy,7896,Holy Cross,2104,H
2025-02-23,S Dakota St,9448,Missouri KC,552,H
2025-02-23,Iona,5027,Merrimack,4973,H
2025-02-23,Manhattan,4738,Quinnipiac,5262,H
2025-02-23,Marist,9222,Niagara,778,H
2025-02-23,Mt St Mary's,7560,Rider,2440,H
2025-02-23,Siena,9540,Canisius,460,H
2025-02-23,St Peter's,6159,Sacred Heart,3841,H
2025-02-23,Creighton,9318,Georgetown,682,H
2025-02-23,Seton Hall,1663,Xavier,8337,H
2025-02-23,St John's,7961,Connecticut,2039,H
2025-02-23,Oakland,5578,Cleveland St,4422,H
2025-02-23,N Kentucky,8640,IUPUI,1360,H
2025-02-23,Robert Morris,6106,WI Milwaukee,3894,H
2025-02-23,Youngstown St,9876,WI Green Bay,124,H
2025-02-24,Alabama A&M,3793,Florida A&M,6207,H
2025-02-24,Norfolk St,8996,Morgan St,1004,H
2025-02-24,TX Southern,9732,Ark Pine Bluff,268,H
2025-02-24,Nebraska,5178,Michigan,4822,H
2025-02-24,Florida St,4479,North Carolina,5521,H
2025-02-24,Delaware St,8310,NC Central,1690,H
2025-02-24,Colorado,2741,Kansas,7259,H
2025-02-24,Texas Tech,4696,Houston,5304,H
2025-02-24,Monmouth NJ,5977,Northeastern,4023,H
2025-02-24,Austin Peay,1918,Lipscomb,8082,H
2025-02-24,Cent Arkansas,929,North Alabama,9071,H
2025-02-24,FGCU,8411,North Florida,1589,H
2025-02-24,Jacksonville,5524,E Kentucky,4476,H
2025-02-24,West Georgia,3050,Queens NC,6950,H
2025-02-24,Coppin St,3784,Howard,6216,H
2025-02-24,Incarnate Word,3417,Lamar,6583,H
2025-02-24,MD E Shore,1223,S Carolina St,8777,H
2025-02-24,McNeese St,9707,UTRGV,293,H
2025-02-24,Prairie View,8679,MS Valley St,1321,H
2025-02-24,New Orleans,5830,East Texas A&M,4170,H
2025-02-24,Nicholls St,7090,TAM C. Christi,2910,H
2025-02-24,Alabama St,6267,Bethune-Cookman,3733,H
2025-02-24,SE Louisiana,8590,Northwestern LA,1410,H
2025-02-24,Stetson,6737,Bellarmine,3263,H
2025-02-24,Houston Chr,4361,SF Austin,5639,H
2025-02-25,Nevada,9005,Wyoming,995,H
2025-02-25,Richmond,928,VCU,9072,H
2025-02-25,Davidson,5728,St Louis,4272,H
2025-02-25,Murray St,6504,Indiana St,3496,H
2025-02-25,S Illinois,6908,Illinois St,3092,H
2025-02-25,San Jose St,3932,UNLV,6068,H
2025-02-25,San Diego St,5129,New Mexico,4871,H
2025-02-25,Air Force,637,Colorado St,9363,H
2025-02-25,Wisconsin,9751,Washington,249,H
2025-02-25,Minnesota,7226,Northwestern,2774,H
2025-02-25,Illinois,8178,Iowa,1822,H
2025-02-25,Pittsburgh,7477,Georgia Tech,2523,H
2025-02-25,Miami FL,283,Duke,9717,H
2025-02-25,Virginia Tech,884,Louisville,9116,H
2025-02-25,Cincinnati,5277,Baylor,4723,H
2025-02-25,West Virginia,6697,TCU,3303,H
2025-02-25,Oklahoma St,2214,Iowa St,7786,H
2025-02-25,Lafayette,5214,Army,4786,H
2025-02-25,Santa Clara,4716,Gonzaga,5284,H
2025-02-25,Alabama,8449,Mississippi St,1551,H
2025-02-25,Ball St,1557,Akron,8443,H
2025-02-25,C Michigan,9156,Buffalo,844,H
2025-02-25,E Michigan,8353,Bowling Green,1647,H
2025-02-25,Georgia,2008,Florida,7992,H
2025-02-25,Kent,8011,Toledo,1989,H
2025-02-25,LSU,1836,Tennessee,8164,H
2025-02-25,Miami OH,9679,N Illinois,321,H
2025-02-25,Missouri,9479,South Carolina,521,H
2025-02-25,W Illinois,5340,Lindenwood,4660,H
2025-02-25,W Michigan,5228,Ohio,4772,H
2025-02-25,Ga Southern,3425,Appalachian St,6575,H
2025-02-25,ULM,1653,James Madison,8347,H
2025-02-25,Texas St,3134,Troy,6866,H
2025-02-25,Marquette,9032,Providence,968,H
2025-02-25,Marshall,8435,Old Dominion,1565,H
2025-02-26,Colgate,8578,Holy Cross,1422,H
2025-02-26,American Univ,8386,Navy,1614,H
2025-02-26,Loyola-Chicago,7246,G Washington,2754,H
2025-02-26,George Mason,9728,Fordham,272,H
2025-02-26,La Salle,3864,Duquesne,6136,H
2025-02-26,Rhode Island,4201,Dayton,5799,H
2025-02-26,Northern Iowa,7709,IL Chicago,2291,H
2025-02-26,Evansville,1013,Drake,8987,H
2025-02-26,Valparaiso,1956,Bradley,8044,H
2025-02-26,Missouri St,3661,Belmont,6339,H
2025-02-26,USC,5067,Ohio St,4933,H
2025-02-26,Maryland,5949,Michigan St,4051,H
2025-02-26,Indiana,7633,Penn St,2367,H
2025-02-26,Syracuse,6684,NC State,3316,H
2025-02-26,Clemson,9715,Notre Dame,285,H
2025-02-26,St Joseph's PA,7343,St Bonaventure,2657,H
2025-02-26,Wake Forest,9172,Virginia,828,H
2025-02-26,Stanford,8558,Boston College,1442,H
2025-02-26,California,3421,SMU,6579,H
2025-02-26,UCF,4020,Kansas St,5980,H
2025-02-26,Arizona,9417,Utah,583,H
2025-02-26,Arizona St,2691,BYU,7309,H
2025-02-26,Memphis,9681,Rice,319,H
2025-02-26,Temple,7488,South Florida,2512,H
2025-02-26,Tulane,9033,Charlotte,967,H
2025-02-26,UNC Asheville,9346,Presbyterian,654,H
2025-02-26,Longwood,5224,Winthrop,4776,H
2025-02-26,High Point,9976,SC Upstate,24,H
2025-02-26,Gardner Webb,4352,Radford,5648,H
2025-02-26,Oklahoma,5254,Kentucky,4746,H
2025-02-26,Texas A&M,8318,Vanderbilt,1682,H
2025-02-26,Auburn,9338,Mississippi,662,H
2025-02-26,Arkansas,6317,Texas,3683,H
2025-02-26,Boise St,5242,Utah St,4758,H
2025-02-26,ETSU,8709,Mercer,1291,H
2025-02-26,FGCU,9594,Bellarmine,406,H
2025-02-26,Furman,9622,Citadel,378,H
2025-02-26,Jacksonville,9592,Stetson,408,H
2025-02-26,N Dakota St,8284,South Dakota,1716,H
2025-02-26,West Georgia,5854,Austin Peay,4146,H
2025-02-26,W Carolina,3196,Wofford,6804,H
2025-02-26,North Alabama,8384,Queens NC,1616,H
2025-02-26,North Florida,3066,E Kentucky,6934,H
2025-02-26,Lipscomb,9870,Cent Arkansas,130,H
2025-02-26,Coastal Car,2797,Georgia St,7203,H
2025-02-26,Louisiana,1388,Arkansas St,8612,H
2025-02-26,Loyola MD,3260,Bucknell,6740,H
2025-02-26,Lehigh,6600,Boston Univ,3400,H
2025-02-26,Creighton,9716,DePaul,284,H
2025-02-26,Seton Hall,2257,Villanova,7743,H
2025-02-26,Butler,1827,St John's,8173,H
2025-02-26,Connecticut,9405,Georgetown,595,H
2025-02-26,Southern Miss,3373,South Alabama,6627,H
