Team,t64,t32,t16,t8,t4,t2,t1
Auburn,10000,9866,8148,5623,4018,2723,1742
Iowa St,10000,8729,4576,2024,641,294,125
Wisconsin,10000,9358,6845,4403,1952,1136,559
St John's,10000,8915,5534,2310,1334,750,380
Maryland,10000,6221,2879,968,465,238,109
Mississippi,10000,4782,1384,553,162,60,25
St Mary's CA,10000,7541,4347,2035,699,333,152
Gonzaga,10000,5123,984,378,165,65,33
Utah St,10000,4877,855,302,130,56,26
Texas,10000,2459,841,244,49,21,9
UC San Diego,10000,5218,1621,685,200,78,22
Arkansas,2951,789,206,50,15,6,1
Wake Forest,7049,2990,1187,344,162,76,30
Arkansas St,10000,1085,194,24,6,0,0
Towson,10000,642,150,25,2,1,0
Bryant,10000,1271,236,31,0,0,0
NE Omaha,4899,60,3,0,0,0,0
SE Missouri St,5101,74,10,1,0,0,0
Alabama,10000,9590,6668,4430,2346,1338,721
Houston,10000,9838,7590,6260,4107,2572,1474
Kentucky,10000,7738,3671,850,271,86,32
Michigan,10000,8050,4596,1992,882,432,178
Missouri,10000,6746,3634,1557,636,301,113
Illinois,10000,5058,2949,693,249,74,23
Mississippi St,10000,5621,1435,925,365,162,62
Creighton,10000,6111,2160,1070,431,171,70
Baylor,10000,3889,1124,504,170,57,20
Nebraska,10000,4379,958,596,225,87,31
George Mason,10000,4942,2859,622,199,58,18
Yale,10000,3254,1218,325,85,30,7
High Point,10000,1950,552,114,24,7,1
UNC Greensboro,10000,2262,521,51,6,1,1
Cleveland St,10000,162,17,3,2,0,0
Quinnipiac,10000,410,48,8,2,0,0
Florida,10000,9742,6644,4381,2940,1490,799
Texas A&M,10000,8701,4572,1956,711,223,75
Purdue,10000,8672,4620,2852,1287,515,201
Texas Tech,10000,8270,4955,2162,1270,549,256
Marquette,10000,5659,2766,1117,573,240,101
Clemson,10000,7885,4464,2760,1254,487,210
Memphis,10000,4586,2320,913,291,89,26
Oregon,10000,2088,347,99,41,11,3
New Mexico,10000,7912,2968,1604,881,370,172
BYU,10000,5414,2903,1189,414,113,42
Vanderbilt,10000,2115,681,244,59,14,2
Drake,10000,4341,1802,565,254,56,14
Akron,10000,1730,477,66,15,4,1
Jacksonville St,10000,1328,235,60,7,2,0
Montana,10000,1299,205,26,3,0,0
Norfolk St,10000,258,41,6,0,0,0
Duke,10000,9835,6878,4473,2738,1378,703
Tennessee,10000,9276,5434,2948,1420,684,318
Arizona,10000,8984,6194,3376,1658,778,366
Michigan St,10000,9240,7229,3389,1898,911,419
Kansas,10000,6949,2059,510,164,57,7
UCLA,10000,4934,1726,671,222,71,25
Louisville,10000,8266,4080,2124,915,389,163
Connecticut,10000,6242,2149,1107,508,211,77
Ohio St,10000,3758,958,417,172,55,14
West Virginia,10000,1734,387,91,17,3,2
San Diego St,6790,3791,1481,628,233,76,35
Oklahoma,3210,1275,346,127,38,11,5
McNeese St,10000,3051,486,72,10,0,0
Lipscomb,10000,760,226,29,1,0,0
Utah Valley,10000,1016,253,28,5,0,0
Central Conn,10000,724,99,7,0,0,0
Southern Univ,4956,76,8,2,1,0,0
American Univ,5044,89,7,1,0,0,0
