Ranking,Team,Wins,Losses,ELO
1,Auburn,23,2,1877.73
2,Houston,21,4,1817.93
3,Florida,22,3,1775.34
4,Alabama,21,4,1763.45
5,Duke,23,3,1758.80
6,St John's,22,4,1732.31
7,Wisconsin,20,5,1728.52
8,Texas Tech,20,5,1701.25
9,Arizona,18,8,1690.37
10,Tennessee,21,5,1667.69
11,Michigan St,20,5,1667.51
12,Purdue,19,7,1660.63
13,New Mexico,22,4,1645.14
14,Clemson,21,5,1636.16
15,St Mary's CA,23,4,1632.45
16,Michigan,20,5,1624.51
17,Maryland,20,6,1622.11
18,Texas A&M,20,5,1620.96
19,Louisville,20,6,1614.77
20,Iowa St,20,5,1614.40
21,Connecticut,17,8,1586.50
22,Marquette,19,6,1581.83
23,Missouri,19,6,1572.91
24,Creighton,18,8,1566.98
25,Wake Forest,19,7,1531.04
26,Gonzaga,20,7,1513.16
27,UCLA,19,7,1511.56
28,Drake,23,3,1510.07
29,VCU,20,5,1509.31
30,San Diego St,17,6,1502.57
31,Utah St,22,4,1498.88
32,Illinois,17,9,1498.45
33,Mississippi St,18,7,1496.08
34,Nebraska,17,9,1495.85
35,Kansas,17,8,1490.34
36,UC San Diego,22,4,1484.04
37,Ohio St,15,11,1480.91
38,Mississippi,19,7,1478.55
39,Baylor,16,10,1478.35
40,Kentucky,17,8,1476.62
41,BYU,17,8,1468.24
42,Memphis,21,5,1467.19
43,George Mason,21,5,1449.07
44,Xavier,16,10,1412.23
45,Yale,16,6,1406.07
46,SMU,19,6,1392.10
47,Boise St,17,8,1387.37
48,Texas,16,10,1385.38
49,San Francisco,21,7,1385.34
50,Kansas St,13,13,1382.64
51,Colorado St,16,9,1381.91
52,North Carolina,15,11,1377.80
53,Villanova,15,11,1376.48
54,Liberty,21,5,1366.66
55,Cincinnati,15,10,1360.03
56,Oregon,18,8,1355.60
57,Vanderbilt,17,8,1355.44
58,Arkansas,15,10,1351.30
59,UC Irvine,22,4,1351.10
60,Oklahoma,16,9,1349.86
61,USC,14,11,1348.97
62,North Texas,18,6,1338.69
63,Georgia,16,10,1331.51
64,Dayton,18,8,1329.83
65,Santa Clara,17,10,1328.62
66,Nevada,15,10,1310.95
67,High Point,23,5,1306.91
68,West Virginia,15,10,1301.19
69,Indiana,15,11,1290.94
70,Akron,20,5,1288.85
71,Chattanooga,19,8,1287.79
72,Iowa,14,11,1284.94
73,Bradley,21,6,1284.82
74,Butler,12,13,1279.31
75,Utah,15,11,1277.62
76,Pittsburgh,15,10,1277.52
77,Grand Canyon,19,6,1274.40
78,Arkansas St,19,8,1265.51
79,Providence,12,14,1263.94
80,TCU,14,11,1262.65
81,Northern Iowa,18,9,1262.24
82,Minnesota,13,12,1261.26
83,FL Atlantic,15,10,1255.75
84,St Joseph's PA,15,10,1253.51
85,UNLV,14,12,1242.21
86,Northwestern,13,13,1239.09
87,McNeese St,21,6,1229.94
88,Rutgers,12,14,1215.58
89,CS Northridge,18,7,1211.50
90,Utah Valley,18,7,1208.16
91,Jacksonville St,18,8,1206.09
92,Lipscomb,19,8,1202.04
93,Loyola-Chicago,16,9,1201.85
94,UNC Wilmington,21,6,1198.55
95,Virginia,13,13,1194.99
96,S Dakota St,18,9,1194.92
97,South Carolina,10,15,1193.30
98,Georgia Tech,13,13,1191.64
99,Penn St,13,13,1191.23
100,Stanford,16,10,1189.35
101,Towson,18,9,1189.09
102,UAB,16,9,1187.49
103,Washington St,16,11,1186.29
104,Bryant,17,10,1185.95
105,Samford,20,7,1184.78
106,Washington,13,12,1182.54
107,Florida St,15,10,1182.11
108,St Bonaventure,18,9,1177.79
109,Troy,17,9,1177.28
110,Oklahoma St,12,13,1175.53
111,MTSU,17,8,1174.94
112,G Washington,17,9,1172.67
113,UNC Greensboro,18,9,1171.97
114,Oregon St,18,9,1166.59
115,Georgetown,15,10,1166.35
116,Arizona St,12,13,1164.38
117,North Alabama,19,8,1161.10
118,St Thomas MN,20,7,1161.07
119,LSU,13,12,1155.68
120,Youngstown St,18,10,1154.70
121,Appalachian St,16,10,1153.24
122,Col Charleston,20,7,1149.13
123,WI Milwaukee,18,9,1148.22
124,UCF,13,12,1147.74
125,UNC Asheville,19,7,1146.83
126,St Louis,14,12,1138.73
127,UC Riverside,17,10,1131.48
128,IL Chicago,16,11,1131.24
129,Belmont,18,9,1131.16
130,Montana,19,8,1123.77
131,N Colorado,19,8,1119.50
132,Notre Dame,11,14,1118.50
133,Tulane,14,11,1117.27
134,Central Conn,19,6,1112.50
135,James Madison,17,10,1109.11
136,Wichita St,15,10,1108.96
137,Rhode Island,17,8,1108.02
138,Kennesaw,15,11,1107.02
139,Davidson,15,10,1104.90
140,Quinnipiac,16,10,1103.42
141,Campbell,15,12,1101.73
142,Duquesne,10,15,1095.98
143,Kent,17,8,1094.24
144,California,12,14,1093.98
145,Colorado,10,15,1092.26
146,Robert Morris,20,8,1091.66
147,Miami OH,19,6,1079.68
148,Jacksonville,16,10,1079.26
149,Cal Baptist,13,12,1077.64
150,E Kentucky,16,11,1076.12
151,Syracuse,11,15,1074.15
152,South Alabama,18,9,1073.56
153,Princeton,16,8,1073.17
154,Cornell,13,9,1072.98
155,N Dakota St,19,9,1071.62
156,NC State,10,15,1070.09
157,Louisiana Tech,17,9,1067.30
158,East Carolina,15,11,1063.31
159,UTEP,17,8,1058.92
160,Portland St,16,10,1057.95
161,Dartmouth,12,10,1057.73
162,S Illinois,12,15,1057.24
163,PFW,18,10,1055.08
164,Cleveland St,18,9,1054.60
165,Brown,12,10,1054.26
166,Temple,14,12,1050.03
167,Virginia Tech,11,14,1048.41
168,SE Missouri St,17,10,1045.16
169,UC Davis,15,11,1041.60
170,Wofford,14,13,1040.08
171,UC Santa Barbara,16,10,1039.83
172,Norfolk St,18,8,1039.39
173,Marist,18,5,1036.14
174,NE Omaha,16,12,1031.54
175,Massachusetts,11,15,1030.21
176,Illinois St,15,12,1029.88
177,WKU,14,11,1029.28
178,DePaul,11,15,1024.33
179,Indiana St,13,14,1022.54
180,Elon,16,11,1021.94
181,Abilene Chr,12,13,1018.51
182,Lamar,17,10,1015.31
183,Maine,16,10,1014.88
184,Merrimack,14,12,1011.94
185,ETSU,15,12,1010.51
186,Radford,16,11,1004.65
187,Murray St,13,14,1002.15
188,Furman,19,8,1001.95
189,Loy Marymount,15,12,998.78
190,New Mexico St,13,12,990.20
191,San Jose St,12,15,986.53
192,William & Mary,16,11,985.74
193,Ark Little Rock,17,10,982.69
194,Winthrop,18,10,977.49
195,SIUE,18,9,975.50
196,Northeastern,15,12,973.82
197,Vermont,15,11,972.04
198,UT Arlington,12,14,971.02
199,Wyoming,11,15,968.85
200,South Florida,12,14,968.42
201,Oakland,12,15,964.70
202,Montana St,12,15,960.44
203,Rice,12,14,955.05
204,Marshall,15,12,954.86
205,Toledo,15,10,953.87
206,FGCU,14,13,948.51
207,Queens NC,16,11,948.25
208,Seattle,10,15,947.90
209,Seton Hall,7,18,947.29
210,Sam Houston St,10,16,946.09
211,American Univ,17,10,942.94
212,Ohio,13,12,937.93
213,Portland,10,17,935.82
214,SE Louisiana,17,10,935.70
215,Southern Univ,17,9,932.86
216,Bucknell,14,14,932.76
217,S Carolina St,13,12,931.58
218,UT San Antonio,10,15,929.71
219,Nicholls St,16,11,927.80
220,Manhattan,13,10,925.78
221,Siena,12,14,923.15
222,Miami FL,6,19,921.81
223,Drexel,13,14,916.12
224,Fordham,11,14,915.07
225,Monmouth NJ,9,18,912.01
226,Hampton,14,13,903.76
227,VMI,13,14,903.74
228,Evansville,10,17,902.72
229,Harvard,9,13,895.81
230,Boston College,10,15,894.66
231,Cal Poly,10,16,894.24
232,Georgia St,12,15,894.07
233,Richmond,9,17,890.53
234,South Dakota,16,11,888.48
235,Mt St Mary's,15,10,888.06
236,TAM C. Christi,17,11,883.90
237,Hawaii,14,12,883.56
238,SF Austin,14,13,883.05
239,E Washington,10,16,879.81
240,Ga Southern,14,13,878.63
241,Tarleton St,11,16,877.10
242,MA Lowell,15,11,874.85
243,Idaho St,11,13,870.48
244,Northern Arizona,15,12,870.15
245,Iona,11,15,863.73
246,Longwood,16,11,860.11
247,Hofstra,12,15,859.02
248,Texas St,13,14,858.67
249,Missouri St,9,18,858.47
251,Tulsa,11,15,854.74
252,Austin Peay,12,15,854.62
254,La Salle,12,14,840.03
255,CS Bakersfield,11,16,839.27
256,Pepperdine,10,17,838.10
257,N Kentucky,12,15,835.59
258,Delaware St,13,11,832.32
259,Tennessee St,13,14,830.84
260,C Michigan,11,14,828.92
261,Valparaiso,11,16,825.41
262,Colgate,11,16,824.06
263,Binghamton,13,14,823.36
264,Gardner Webb,10,15,819.27
265,Delaware,12,15,818.94
266,Idaho,11,15,814.96
267,UMBC,12,15,811.73
268,SUNY Albany,13,13,807.66
269,Wright St,13,15,804.48
270,Charlotte,9,17,801.37
271,Army,15,11,795.36
272,TN Martin,12,15,792.85
273,Ball St,13,12,792.45
274,Sacred Heart,11,14,791.24
276,Rider,10,16,785.11
277,Penn,6,16,782.30
278,Jackson St,9,17,781.74
279,E Michigan,12,13,780.11
280,Missouri KC,11,16,777.20
281,Fresno St,5,21,775.25
282,TX Southern,11,15,769.30
283,Tennessee Tech,13,14,767.75
284,Columbia,12,10,765.92
285,Southern Miss,10,17,763.13
286,North Florida,13,14,758.22
287,Florida A&M,12,12,755.89
288,Mercer,11,16,754.88
289,Presbyterian,11,16,753.30
290,St Peter's,9,13,751.66
291,Florida Intl,8,18,751.19
292,Morgan St,11,14,742.38
293,Stonehill,14,13,742.37
294,Charleston So,10,18,742.24
295,F Dickinson,11,16,740.51
296,Old Dominion,11,16,733.25
297,Navy,10,17,733.20
298,W Carolina,8,17,729.87
299,LIU Brooklyn,13,15,729.09
300,W Michigan,8,17,726.69
301,Pacific,9,20,726.30
302,Louisiana,9,18,720.93
303,Utah Tech,6,19,715.83
304,Alcorn St,8,18,713.21
305,UTRGV,14,13,709.74
306,Southern Utah,11,15,706.69
307,Incarnate Word,13,14,706.38
308,North Dakota,10,18,705.64
309,Northwestern LA,12,15,705.26
310,Lehigh,10,16,703.14
311,Boston Univ,13,14,700.75
312,Howard,11,15,699.95
313,Long Beach St,7,19,697.02
314,Bethune-Cookman,11,15,694.74
315,Mercyhurst,13,16,694.29
316,Air Force,3,22,693.80
317,Niagara,10,15,683.50
318,Weber St,9,18,680.68
319,Bowling Green,10,15,677.70
321,St Francis PA,10,17,672.74
322,Lafayette,10,17,669.50
323,Houston Chr,11,16,662.75
325,Alabama St,12,14,649.89
326,Oral Roberts,6,19,640.70
327,West Georgia,5,22,629.82
328,NC Central,11,15,627.47
329,ULM,7,20,623.01
330,Loyola MD,10,15,623.00
331,Lindenwood,13,14,619.73
332,Morehead St,14,13,617.20
333,Fairfield,9,17,610.24
334,Stony Brook,6,21,609.46
336,San Diego,4,24,605.81
337,New Hampshire,7,20,604.28
338,Detroit,8,19,595.54
339,IUPUI,8,19,595.12
341,Grambling,9,17,591.19
342,Stetson,7,20,590.40
343,Holy Cross,12,15,583.75
344,CS Fullerton,6,21,575.56
345,NJIT,5,22,574.16
347,Buffalo,8,17,555.11
348,Denver,9,19,554.31
349,Coastal Car,8,19,540.46
350,Cent Arkansas,7,20,536.58
351,Wagner,12,13,533.28
352,E Illinois,8,19,528.65
353,Le Moyne,9,18,527.02
355,CS Sacramento,6,20,508.30
356,NC A&T,5,22,503.90
357,WI Green Bay,3,24,502.80
358,Citadel,5,20,498.60
359,W Illinois,10,17,497.86
360,N Illinois,5,20,497.62
361,Alabama A&M,9,17,496.61
363,Chicago St,4,23,483.80
364,Canisius,2,23,478.77
365,Southern Indiana,9,17,474.00
367,SC Upstate,5,23,457.16
368,East Texas A&M,3,24,430.43
369,Coppin St,4,20,428.56
371,Bellarmine,3,24,391.60
373,Prairie View,4,22,377.41
375,MD E Shore,4,21,363.35
377,New Orleans,4,23,356.03
379,Ark Pine Bluff,4,22,232.29
380,MS Valley St,3,23,143.75
