Wyoming,8800,Air Force,1200,0,106000.00000001588
Davidson,5608,Loyola-Chicago,4392,0,12999.999999998117
San Diego St,9924,Fresno St,76,0,218999.99999996228
Wisconsin,8587,Illinois,1413,0,95000.0
UCLA,8699,Minnesota,1301,0,100000.0
Michigan St,6780,Purdue,3220,0,39000.000000007356
Pittsburgh,8376,Syracuse,1624,0,88000.00000001636
Boston College,4894,Virginia Tech,5106,0,-1000.0000000001588
Iowa St,9674,Colorado,326,0,167999.99999999042
BYU,6439,Kansas,3561,0,32000.000000005082
Arizona St,813,Houston,9187,0,-126000.00000002258
TCU,2073,Texas Tech,7927,0,-71999.99999998648
Akron,9954,N Illinois,46,0,235000.0
Bellarmine,1906,Austin Peay,8094,0,-78000.00000001471
Bowling Green,2266,Kent,7734,0,-66999.99999998765
Buffalo,4687,W Michigan,5313,0,-5000.0
E Kentucky,5310,Lipscomb,4690,0,6000.000000000717
E Michigan,3311,Miami OH,6689,0,-37000.00000000122
Florida,9487,Oklahoma,513,0,143999.99999997296
FGCU,5110,Jacksonville,4890,0,5000.0
LSU,6213,South Carolina,3787,0,27999.99999999523
Mississippi St,5173,Texas A&M,4827,0,6000.000000000717
North Alabama,9721,West Georgia,279,0,170000.0
Ohio,7680,C Michigan,2320,0,65000.0
Stetson,4776,North Florida,5224,0,-4000.0000000006353
Toledo,8107,Ball St,1893,0,78000.00000001471
TN Martin,6235,Tennessee St,3765,0,27999.99999999523
Queens NC,9452,Cent Arkansas,548,0,140000.0
Marquette,9862,Seton Hall,138,0,196000.0000000353
Xavier,7927,Butler,2073,0,70999.999999995
Connecticut,8354,Villanova,1646,0,90000.0
Army,5058,American Univ,4942,0,1000.0000000001588
Holy Cross,5651,Lafayette,4349,0,16000.000000002541
Colgate,7525,Navy,2475,0,60000.0
VCU,9616,Massachusetts,384,0,157000.00000000207
La Salle,6019,Richmond,3981,0,25000.0
G Washington,5818,St Joseph's PA,4182,0,17000.00000000315
Duquesne,8233,Fordham,1767,0,83000.00000001559
Drake,9273,IL Chicago,727,0,131999.9999999804
Murray St,6129,S Illinois,3871,0,24000.000000002867
Valparaiso,6237,Missouri St,3763,0,29000.000000004882
Indiana St,7686,Evansville,2314,0,68000.0000000126
Illinois St,3838,Bradley,6162,0,-25999.999999996235
Washington,6398,Rutgers,3602,0,29000.000000004882
Penn St,3289,Nebraska,6711,0,-39000.000000007356
Iowa,5896,Oregon,4104,0,20000.0
Missouri,4574,Alabama,5426,0,-10000.0
Notre Dame,3641,SMU,6359,0,-30999.999999994496
North Carolina,8970,NC State,1030,0,113999.99999998116
Belmont,5201,Northern Iowa,4799,0,5000.0
Florida St,8740,Miami FL,1260,0,103000.0000000182
West Virginia,5923,Cincinnati,4077,0,22999.999999995773
Oklahoma St,6938,UCF,3062,0,44000.00000000818
Rice,4049,UAB,5951,0,-20999.999999998803
UT San Antonio,6237,South Florida,3763,0,27999.99999999523
Tulane,7133,East Carolina,2867,0,50999.99999999095
North Texas,9604,Tulsa,396,0,157999.9999999972
Charlotte,3900,Temple,6100,0,-25000.0
Radford,5045,UNC Asheville,4955,0,2000.0000000003176
Presbyterian,4185,Winthrop,5815,0,-17999.99999999662
Longwood,7040,Gardner Webb,2960,0,48000.00000000573
High Point,9766,Charleston So,234,0,178999.99999996688
Kentucky,7735,Vanderbilt,2265,0,68000.0000000126
Auburn,9728,Arkansas,272,0,168999.99999996836
Boise St,3909,New Mexico,6091,0,-27000.00000000468
Chattanooga,9764,W Carolina,236,0,177000.000000015
Citadel,3787,Mercer,6213,0,-27000.00000000468
Denver,5668,Oral Roberts,4332,0,16000.000000002541
ETSU,4780,UNC Greensboro,5220,0,-3000.0000000003583
Samford,8212,Furman,1788,0,83000.00000001559
S Dakota St,7802,N Dakota St,2198,0,68000.0000000126
South Dakota,3657,St Thomas MN,6343,0,-30999.999999994496
St Mary's CA,9923,Portland,77,0,212000.00000003175
Missouri KC,3783,NE Omaha,6217,0,-25999.999999996235
VMI,5105,Wofford,4895,0,3000.0000000003583
Washington St,3075,Gonzaga,6925,0,-44000.00000000818
Arkansas St,8305,South Alabama,1695,0,86000.00000000602
Texas St,8618,ULM,1382,0,96000.00000001147
Boston Univ,7298,Loyola MD,2702,0,56999.99999999058
Utah St,9673,San Jose St,327,0,166000.00000003117
Georgetown,5631,Providence,4369,0,12999.999999998117
DePaul,592,St John's,9408,0,-140000.0
Detroit,6599,IUPUI,3401,0,37999.99999999958
SUNY Albany,4471,Maine,5529,0,-13999.999999997615
MA Lowell,7192,UMBC,2808,0,53000.00000000794
Binghamton,8449,New Hampshire,1551,0,91999.99999998309
Vermont,4315,Bryant,5685,0,-16000.000000002541
Ohio St,8683,Northwestern,1317,0,98000.00000001765
Maryland,8840,USC,1160,0,106000.00000001588
Chicago St,972,Central Conn,9028,0,-120000.0
FL Atlantic,7917,Wichita St,2083,0,74000.00000000244
Santa Clara,9126,Loy Marymount,874,0,120000.0
Radford,5142,UNC Asheville,4858,0,1863.0999999999988
Abilene Chr,9053,Southern Utah,947,0,116000.00000001953
Bellarmine,655,E Kentucky,9345,0,-135380.09999999983
Jacksonville St,8431,New Mexico St,1569,0,91999.99999998309
Kennesaw,7107,UTEP,2893,0,50000.0
MTSU,7609,Louisiana Tech,2391,0,64000.000000010165
Morehead St,2828,SIUE,7172,0,-51999.99999999247
Pepperdine,3064,Oregon St,6936,0,-45000.0
San Francisco,9845,Pacific,155,0,202000.00000002756
SE Missouri St,9750,W Illinois,250,0,173999.99999996758
Southern Indiana,6081,E Illinois,3919,0,24000.000000002867
Stetson,2899,FGCU,7101,0,-52134.10000000014
Tennessee Tech,6340,TN Martin,3660,0,30713.000000000015
Ark Little Rock,9270,Lindenwood,730,0,128000.00000002033
UC Riverside,9500,Long Beach St,500,0,146000.00000002747
Utah Tech,1677,Utah Valley,8323,0,-86000.00000000602
WKU,7341,Sam Houston St,2659,0,58000.000000009764
Queens NC,7499,Austin Peay,2501,0,60241.19999999948
Lipscomb,6956,North Alabama,3044,0,46911.89999999992
North Florida,3165,Jacksonville,6835,0,-42698.30000000003
UC Davis,8392,CS Bakersfield,1608,0,88000.00000001636
UC Santa Barbara,9569,CS Fullerton,431,0,153999.99999997095
Weber St,8196,CS Sacramento,1804,0,81000.00000000281
West Georgia,7655,Cent Arkansas,2345,0,61146.19999999135
Southern Miss,8474,Coastal Car,1526,0,93000.00000001704
N Colorado,8649,E Washington,1351,0,96999.99999998246
Mercyhurst,6096,F Dickinson,3904,0,25999.999999996235
Appalachian St,8822,Ga Southern,1178,0,106000.00000001588
James Madison,8510,Georgia St,1490,0,91000.00000000889
Northern Arizona,7240,Idaho,2760,0,50999.99999999095
Idaho St,4572,Portland St,5428,0,-8999.99999999831
Le Moyne,5066,St Francis PA,4934,0,1000.0000000001588
Wagner,4418,Stonehill,5582,0,-15000.0
UC Irvine,7869,CS Northridge,2131,0,71999.99999998648
Cal Poly,1041,UC San Diego,8959,0,-110000.0
Old Dominion,4286,Marshall,5714,0,-17999.99999999662
Troy,9541,Louisiana,459,0,151999.9999999983
Northeastern,4727,Col Charleston,5273,0,-6000.000000000717
William & Mary,4346,UNC Wilmington,5654,0,-16000.000000002541
NC A&T,1092,Campbell,8908,0,-111999.99999998092
Elon,4791,Towson,5209,0,-4000.0000000006353
Delaware,5587,Drexel,4413,0,12999.999999998117
Hofstra,6122,Monmouth NJ,3878,0,24000.000000002867
Hampton,8925,Stony Brook,1075,0,111000.00000001778
Brown,8877,Columbia,1123,0,110000.0
Loyola-Chicago,5252,Dayton,4748,0,5163.999999999994
Michigan,6122,Michigan St,3878,0,25683.500000000062
Marist,9758,Canisius,242,0,177000.000000015
Merrimack,8524,Sacred Heart,1476,0,93000.00000001704
Mt St Mary's,7867,St Peter's,2133,0,71999.99999998648
Rider,8236,Fairfield,1764,0,81000.00000000281
Siena,8613,Niagara,1387,0,96999.99999998246
Miami OH,6433,Kent,3567,0,33420.59999999989
Toledo,8862,Bowling Green,1138,0,109309.80000000013
Princeton,8201,Harvard,1799,0,81999.99999998459
Iona,6000,Manhattan,4000,0,22000.00000000409
Penn,3661,Dartmouth,6339,0,-30999.999999994496
Yale,9081,Cornell,919,0,121000.00000002111
Villanova,4337,Marquette,5663,0,-15483.099999999495
Detroit,1924,Cleveland St,8076,0,-76549.80000000013
PFW,7533,Oakland,2467,0,60000.0
Wright St,6284,N Kentucky,3716,0,30000.0
Youngstown St,6663,WI Milwaukee,3337,0,39000.000000007356
Robert Morris,9809,WI Green Bay,191,0,185000.0
SUNY Albany,8379,New Hampshire,1621,0,89370.80000000024
Brown,6525,Cornell,3475,0,34907.19999999932
Alabama St,5472,Florida A&M,4528,0,11000.000000002045
Lafayette,6183,Lehigh,3817,0,28777.099999999955
Binghamton,4544,Maine,5456,0,-9517.899999999992
UMBC,8559,NJIT,1441,0,95941.9999999995
Vermont,7452,MA Lowell,2548,0,60424.899999999936
Morgan St,7059,Howard,2941,0,48000.00000000573
Nevada,5883,Boise St,4117,0,18988.29999999991
Prairie View,7938,Ark Pine Bluff,2062,0,74000.00000000244
Wyoming,6561,San Jose St,3439,0,34810.19999999907
NC State,1870,Wake Forest,8130,0,-78771.00000000047
G Washington,7977,Massachusetts,2023,0,74301.50000000004
VCU,7249,George Mason,2751,0,53410.600000008606
Fordham,4462,Davidson,5538,0,-11500.900000000025
S Illinois,8557,Valparaiso,1443,0,94085.9000000001
Bradley,8873,Murray St,1127,0,108288.10000000024
Belmont,7593,Indiana St,2407,0,63807.90000000023
Missouri St,4785,Illinois St,5215,0,-5211.099999999977
IL Chicago,8575,Evansville,1425,0,94732.40000000069
Air Force,5733,Fresno St,4267,0,16357.799999999881
Wisconsin,9311,Oregon,689,0,132471.29999999973
Minnesota,7283,Penn St,2717,0,54881.69999999987
Iowa,7614,Washington,2386,0,62725.700000000295
Louisville,9481,Florida St,519,0,144542.2999999959
St Joseph's PA,9228,Richmond,772,0,128240.40000000008
Boston College,3367,Georgia Tech,6633,0,-36926.900000000045
Notre Dame,4806,Pittsburgh,5194,0,-4086.200000000008
St Louis,6990,Rhode Island,3010,0,45000.0
North Carolina,8267,Virginia,1733,0,84288.00000000124
SMU,3970,Clemson,6030,0,-22755.40000000002
St Bonaventure,7293,Duquesne,2707,0,56744.90000000231
Delaware St,5618,S Carolina St,4382,0,12999.999999998117
Miami FL,5225,Virginia Tech,4775,0,4608.299999999997
Dartmouth,6539,Princeton,3461,0,33291.59999999991
Stanford,7543,California,2457,0,60999.99999999005
Texas Tech,9351,West Virginia,649,0,138633.20000000022
Colorado,2532,Baylor,7468,0,-59679.80000000037
Cincinnati,7555,TCU,2445,0,63043.09999999999
Kansas,8973,Oklahoma St,1027,0,114333.80000000047
Houston,8433,Iowa St,1567,0,89530.59999999902
Arizona,8477,BYU,1523,0,92191.00000000001
Rice,7622,Tulsa,2378,0,62678.70000000003
Radford,8620,Presbyterian,1380,0,101024.20000000023
UNC Asheville,8865,Longwood,1135,0,108218.10000000015
Gardner Webb,1741,High Point,8259,0,-86023.40000000014
Charleston So,8855,SC Upstate,1145,0,108207.70000001774
UNLV,5203,Colorado St,4797,0,3000.0000000003583
Abilene Chr,9027,Utah Tech,973,0,116087.09999999958
Alabama,8844,Kentucky,1156,0,108354.90000000017
Arkansas,4108,Missouri,5892,0,-18472.399999999972
Auburn,9746,Georgia,254,0,174693.69999999765
Ball St,8501,Buffalo,1499,0,96107.40000000002
