Team,t64,t32,t16,t8,t4,t2,t1
Auburn,10000,9854,8046,5506,3856,2577,1659
Iowa St,10000,8792,4742,2187,786,357,158
Wisconsin,10000,9364,6843,4356,1926,1048,539
St John's,10000,8939,5697,2461,1459,852,461
Maryland,10000,6191,2698,920,451,228,98
Mississippi,10000,4728,1356,542,144,58,22
St Mary's CA,10000,7571,4219,1935,680,288,124
Gonzaga,10000,5256,1083,405,173,56,27
Utah St,10000,4744,858,280,104,35,14
Texas,10000,2429,829,225,36,6,3
UC San Diego,10000,5272,1655,705,202,76,22
Arkansas,2936,781,203,41,12,4,1
Wake Forest,7064,3028,1186,360,159,66,24
Arkansas St,10000,1061,216,27,10,2,0
Towson,10000,636,146,19,0,0,0
Bryant,10000,1208,210,31,2,0,0
NE Omaha,4859,69,8,0,0,0,0
SE Missouri St,5141,77,5,0,0,0,0
Alabama,10000,9617,6739,4473,2505,1396,728
Houston,10000,9804,7729,6259,3855,2409,1381
Kentucky,10000,7787,3666,883,305,105,37
Michigan,10000,8115,4777,2101,962,474,206
Missouri,10000,6606,3394,1398,616,268,114
Illinois,10000,5207,3089,828,279,99,35
Mississippi St,10000,5011,1115,647,236,82,24
Creighton,10000,6040,2106,1110,446,177,63
Baylor,10000,3960,1108,483,193,68,24
Nebraska,10000,4989,1135,659,273,103,37
George Mason,10000,4793,2733,670,213,60,20
Yale,10000,3394,1259,329,92,36,9
High Point,10000,1885,570,101,20,6,2
UNC Greensboro,10000,2213,512,50,4,0,0
Cleveland St,10000,196,21,4,0,0,0
Quinnipiac,10000,383,47,5,1,0,0
Florida,10000,9758,6694,4236,2740,1397,783
Texas A&M,10000,9047,5575,2666,1120,420,193
Purdue,10000,8894,4982,2989,1319,564,252
Texas Tech,10000,8666,5561,2677,1616,756,392
Marquette,10000,5728,2492,922,499,185,76
Clemson,10000,8000,4284,2562,1067,433,173
Memphis,10000,5116,2215,793,229,62,22
Oregon,10000,2075,322,89,25,6,1
New Mexico,10000,7925,2960,1524,831,344,165
BYU,10000,4884,2045,747,250,94,29
Vanderbilt,10000,2000,525,176,45,8,2
Drake,10000,4272,1595,490,227,71,25
Akron,10000,1334,352,59,20,4,0
Jacksonville St,10000,1106,209,48,11,3,1
Montana,10000,953,165,19,1,0,0
Norfolk St,10000,242,24,3,0,0,0
Duke,10000,9865,6823,4512,2717,1434,700
Tennessee,10000,9296,5479,2964,1447,681,308
Arizona,10000,9018,5981,3294,1713,812,355
Michigan St,10000,8988,6452,2957,1580,791,342
Kansas,10000,7501,2774,855,306,112,32
UCLA,10000,5242,2018,811,297,116,29
Louisville,10000,8237,4056,2057,884,383,153
Connecticut,10000,6255,2195,1157,578,229,81
Ohio St,10000,3745,970,421,148,53,18
West Virginia,10000,1763,375,103,26,8,1
San Diego St,6846,3584,1463,604,251,89,34
Oklahoma,3154,1174,297,106,32,8,1
McNeese St,10000,2499,472,54,7,0,0
Lipscomb,10000,1012,302,42,3,0,0
Utah Valley,10000,982,241,45,8,1,0
Central Conn,10000,704,90,16,3,0,0
Southern Univ,5051,64,5,1,0,0,0
American Univ,4949,71,7,1,0,0,0
